	subject	virus tax id	taxonomy	name	seq_size	genome	order	family	genus	genome_type	genome_composition	species	virus	baltimore	segment_n	seq_n	genome_size	complete_genome
9118	NC_003747	119910.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Sobemovirus	Ryegrass mottle virus isolate MAFF. No. 307043 from Japan, complete genome	4212	Riboviria	undefined	Solemoviridae	Sobemovirus	0.0	ssRNA	Ryegrass mottle virus	Ryegrass mottle virus	ssRNA(+)	0.0	0.0	4212.0	1.0
9133	NC_011536	524023.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Sobemovirus	Imperata yellow mottle virus, complete genome	4547	Riboviria	undefined	Solemoviridae	Sobemovirus	0.0	ssRNA	Imperata yellow mottle virus	Imperata yellow mottle virus	ssRNA(+)	0.0	0.0	4547.0	0.0
9138	NC_011543	305785.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Polemovirus	Poinsettia cryptic virus, complete genome	4652	Riboviria	undefined	Solemoviridae	Polemovirus	0.0	ssRNA	Poinsettia latent virus	Poinsettia latent virus	ssRNA(+)	0.0	0.0	4652.0	0.0
10119	NC_004346	12472.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Sobemovirus	Subterranean clover mottle virus, complete genome	4258	Riboviria	undefined	Solemoviridae	Sobemovirus	0.0	ssRNA	Subterranean clover mottle virus	Subterranean clover mottle virus	ssRNA(+)	0.0	0.0	4258.0	1.0
10380	NC_002618	40979.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Sobemovirus	Cocksfoot mottle virus, complete genome	4082	Riboviria	undefined	Solemoviridae	Sobemovirus	0.0	ssRNA	Cocksfoot mottle virus	Cocksfoot mottle virus	ssRNA(+)	0.0	0.0	4082.0	1.0
10819	NC_002568	12558.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Sobelivirales; Solemoviridae; Sobemovirus	Sesbania mosaic virus, complete genome	4148	Riboviria	undefined	Solemoviridae	Sobemovirus	0.0	ssRNA	Sesbania mosaic virus	Sesbania mosaic virus	ssRNA(+)	0.0	0.0	4148.0	1.0
2035	NC_017936	1185359.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; unclassified Sapovirus	Bat sapovirus TLC58/HK, complete genome	7696	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Bat sapovirus TLC58/HK	Bat sapovirus TLC58/HK	ssRNA(+)	0.0	0.0	7696.0	1.0
2247	NC_027026	1280920.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus isolates	Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA, complete genome	7521	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Sapporo virus	Sapovirus Hu/Nagoya/NGY-1/2012/JPN	ssRNA(+)	0.0	0.0	7521.0	1.0
2283	NC_027122	1615583.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	Vesivirus ferret badger/JX12/China/2012, complete genome	8376	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Vesivirus ferret badger/JX12/China/2012	Vesivirus ferret badger/JX12/China/2012	ssRNA(+)	0.0	0.0	8376.0	0.0
3022	NC_033776	1959930.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; unclassified Sapovirus	Bat sapovirus isolate Bat-SaV/Limbe65/CAM/2014 polyprotein and putative minor structural protein genes, complete cds	7475	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Bat sapovirus	Bat sapovirus	ssRNA(+)	0.0	0.0	7475.0	1.0
3347	NC_030793	1812179.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Nebovirus; unclassified Nebovirus	Bovine calicivirus strain Kirklareli, complete genome	7484	Riboviria	undefined	Caliciviridae	Nebovirus	0.0	ssRNA	Bovine calicivirus strain Kirklareli	Bovine calicivirus strain Kirklareli	ssRNA(+)	0.0	0.0	7484.0	1.0
4542	NC_033081	1172196.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Bavovirus; Bavaria virus	Chicken calicivirus strain RS/BR/2015, complete genome	8176	Riboviria	undefined	Caliciviridae	Bavovirus	0.0	ssRNA	Bavaria virus	Chicken calicivirus	ssRNA(+)	0.0	0.0	8176.0	1.0
5251	NC_035675	1949201.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Minovirus; Minovirus A	Fathead minnow calicivirus polyprotien and putative minor structural protein genes, complete cds	6564	Riboviria	undefined	Caliciviridae	Minovirus	0.0	ssRNA	Minovirus A	Fathead minnow calicivirus	ssRNA(+)	0.0	0.0	6564.0	0.0
5498	NC_024031	1489836.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Salovirus; Nordland virus	Atlantic salmon calicivirus isolate Nordland/2011, complete genome	7443	Riboviria	undefined	Caliciviridae	Salovirus	0.0	ssRNA	Nordland virus	Atlantic salmon calicivirus	ssRNA(+)	0.0	0.0	7443.0	1.0
5506	NC_024078	1493858.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; unclassified Caliciviridae	Goose calicivirus strain N, complete genome	8013	Riboviria	undefined	Caliciviridae	undefined	0.0	ssRNA	Goose calicivirus	Goose calicivirus	ssRNA(+)	0.0	0.0	8013.0	1.0
5609	NC_019712	154122.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	Mink calicivirus, complete genome	8427	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Mink calicivirus	Mink calicivirus	ssRNA(+)	0.0	0.0	8427.0	0.0
6369	NC_025676	1564182.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	San Miguel sea lion virus 8, complete genome	8489	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	San Miguel sea lion virus 8	San Miguel sea lion virus 8	ssRNA(+)	0.0	0.0	8489.0	0.0
6890	NC_011050	436911.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	Steller sea lion vesivirus, complete genome	8305	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Steller sea lion vesivirus	Steller sea lion vesivirus	ssRNA(+)	0.0	0.0	8305.0	0.0
7059	NC_001481	11978.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus	Feline calicivirus, complete genome	7683	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Feline calicivirus	Feline calicivirus	ssRNA(+)	0.0	0.0	7683.0	1.0
7121	NC_001543	11976.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Lagovirus	Rabbit hemorrhagic disease virus-FRG, complete genome	7437	Riboviria	undefined	Caliciviridae	Lagovirus	0.0	ssRNA	Rabbit hemorrhagic disease virus	Rabbit hemorrhagic disease virus	ssRNA(+)	0.0	0.0	7437.0	1.0
7237	NC_006554	290314.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus GII	Sapovirus C12 strain C12	7476	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Sapporo virus	Sapovirus C12	ssRNA(+)	0.0	0.0	7476.0	1.0
7648	NC_002615	33756.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Lagovirus	European brown hare syndrome virus, complete genome	7442	Riboviria	undefined	Caliciviridae	Lagovirus	0.0	ssRNA	European brown hare syndrome virus	European brown hare syndrome virus	ssRNA(+)	0.0	0.0	7442.0	1.0
7705	NC_011704	576948.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Lagovirus; unclassified Lagovirus	Rabbit calicivirus Australia 1 MIC-07, complete genome	7422	Riboviria	undefined	Caliciviridae	Lagovirus	0.0	ssRNA	Rabbit calicivirus Australia 1 MIC-07	Rabbit calicivirus Australia 1 MIC-07	ssRNA(+)	0.0	0.0	7422.0	1.0
7795	NC_006269	291175.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus isolates	Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome	7429	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Sapporo virus	Sapovirus Hu/Dresden/pJG-Sap01/DE	ssRNA(+)	0.0	0.0	7429.0	1.0
8133	NC_004541	146073.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; Vesicular exanthema of swine virus	Walrus calicivirus non-structural polyprotein, capsid, and putative nucleic-acid binding protein genes, complete cds	8289	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Vesicular exanthema of swine virus	Walrus calicivirus	ssRNA(+)	0.0	0.0	8289.0	0.0
8279	NC_002551	35612.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus	Vesicular exanthema of swine virus, complete genome	8284	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Vesicular exanthema of swine virus	Vesicular exanthema of swine virus	ssRNA(+)	0.0	0.0	8284.0	0.0
8713	NC_000940	106333.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus GIII	Porcine enteric sapovirus, complete genome	7320	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Sapporo virus	Porcine enteric sapovirus	ssRNA(+)	0.0	0.0	7320.0	1.0
8799	NC_008580	303317.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	Rabbit vesivirus, complete genome	8380	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Rabbit vesivirus	Rabbit vesivirus	ssRNA(+)	0.0	0.0	8380.0	0.0
8875	NC_004064	190239.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Nebovirus; Newbury 1 virus	Calicivirus strain NB, complete genome	7453	Riboviria	undefined	Caliciviridae	Nebovirus	0.0	ssRNA	Newbury 1 virus	Calicivirus strain NB	ssRNA(+)	0.0	0.0	7453.0	1.0
9302	NC_001959	122928.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GI, complete genome	7654	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GI	ssRNA(+)	0.0	0.0	7654.0	1.0
9403	NC_012699	520973.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; unclassified Caliciviridae; St-Valerien swine virus	Calicivirus pig/AB90/CAN, complete genome	6434	Riboviria	undefined	Caliciviridae	St-Valerienswinevirus	0.0	ssRNA	St-Valerien swine virus	Calicivirus pig/AB90/CAN	ssRNA(+)	0.0	0.0	6434.0	0.0
9697	NC_007916	331642.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Nebovirus; Newbury 1 virus	Newbury agent 1 virus, complete genome	7454	Riboviria	undefined	Caliciviridae	Nebovirus	0.0	ssRNA	Newbury 1 virus	Newbury agent 1	ssRNA(+)	0.0	0.0	7454.0	1.0
9711	NC_008311	1246677.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GV, complete genome	7382	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GV	ssRNA(+)	0.0	0.0	7382.0	1.0
9970	NC_010624	234601.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Sapovirus; Sapporo virus; Sapovirus GII	Sapovirus Mc10, complete genome	7458	Riboviria	undefined	Caliciviridae	Sapovirus	0.0	ssRNA	Sapporo virus	Sapovirus Mc10	ssRNA(+)	0.0	0.0	7458.0	1.0
10678	NC_004542	1176484.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	Canine calicivirus, complete genome	8513	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Canine vesivirus	Canine vesivirus	ssRNA(+)	0.0	0.0	8513.0	0.0
10775	NC_006875	243550.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; unclassified Caliciviridae	Calicivirus isolate TCG, complete genome	7453	Riboviria	undefined	Caliciviridae	undefined	0.0	ssRNA	Calicivirus isolate TCG	Calicivirus isolate TCG	ssRNA(+)	0.0	0.0	7453.0	1.0
11709	NC_034444	1960046.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Vesivirus; unclassified Vesivirus	Hom-1 vesivirus, complete genome	8399	Riboviria	undefined	Caliciviridae	Vesivirus	0.0	ssRNA	Hom-1 vesivirus	Hom-1 vesivirus	ssRNA(+)	0.0	0.0	8399.0	0.0
11817	NC_039476	490039.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus; Norovirus GII	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome	7536	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII.2	ssRNA(+)	0.0	0.0	7536.0	1.0
11818	NC_029646	95340.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GII nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds	7518	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norwalk-like virus	ssRNA(+)	0.0	0.0	7518.0	1.0
13111	NC_043512	512169.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Recovirus; Recovirus A	Tulane virus nonstructural polyprotein, capsid protein, and minor structural protein VP2 genes, complete cds	6714	Riboviria	undefined	Caliciviridae	Recovirus	0.0	ssRNA	Recovirus A	Tulane virus	ssRNA(+)	0.0	0.0	6714.0	0.0
13115	NC_043516	1172195.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Nacovirus; Nacovirus A	Turkey calicivirus isolate L11043 polyprotein and small basic protein (small basic protein) genes, complete cds	7656	Riboviria	undefined	Caliciviridae	Nacovirus	0.0	ssRNA	Nacovirus A	Turkey calicivirus	ssRNA(+)	0.0	0.0	7656.0	1.0
13179	NC_031324	1903318.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; unclassified Norovirus	Primate norovirus, complete genome	7753	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Primate norovirus	Primate norovirus	ssRNA(+)	0.0	0.0	7753.0	1.0
13190	NC_039897	1529909.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus; Norovirus GI; Norovirus genogroup 1 isolates	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866, complete genome	7745	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	ssRNA(+)	0.0	0.0	7745.0	1.0
13191	NC_044045	1529918.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus; Norovirus GII; Norovirus GII isolates	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299, complete genome	7551	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299	ssRNA(+)	0.0	0.0	7551.0	1.0
13192	NC_044046	1529924.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus; Norovirus GII; Norovirus GII isolates	Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS, complete genome	7543	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS	ssRNA(+)	0.0	0.0	7543.0	1.0
13200	NC_044047	673457.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus; Norovirus GIV; Norovirus GIV.1	Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG ORF1 polyprotein, VP1 capsid protein, and VP2 minor structural protein genes, complete cds	7637	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG	ssRNA(+)	0.0	0.0	7637.0	1.0
13201	NC_029645	340017.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GIII, complete sequence	7313	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GIII	ssRNA(+)	0.0	0.0	7313.0	1.0
13202	NC_029647	262897.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GIV, complete sequence	7527	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GIV	ssRNA(+)	0.0	0.0	7527.0	1.0
13203	NC_039475	552592.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus; Norovirus GII	Norovirus GII.17, complete genome	7556	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII.17	ssRNA(+)	0.0	0.0	7556.0	1.0
13208	NC_039477	122929.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GII, complete genome	7567	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII	ssRNA(+)	0.0	0.0	7567.0	1.0
13209	NC_040876	122929.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GII.P7_GII.6, complete genome	7521	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII	ssRNA(+)	0.0	0.0	7521.0	1.0
13739	NC_040674	2161807.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; unclassified Norovirus	Marmot norovirus strain HT16, complete genome	6453	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Marmot norovirus	Marmot norovirus	ssRNA(+)	0.0	0.0	6453.0	0.0
14073	NC_044932	122929.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GII GII.NA2[PNA2], complete sequence	7525	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GII	ssRNA(+)	0.0	0.0	7525.0	1.0
14101	NC_044853	122928.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GI strain Hu/JP/1998/GI.6[PNA4]/No20-Saitama-98-17, complete genome	7677	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GI	ssRNA(+)	0.0	0.0	7677.0	1.0
14102	NC_044854	122928.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GI strain Hu/JP/2000/GI.6[PNA1]/WUG1, complete genome	7693	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GI	ssRNA(+)	0.0	0.0	7693.0	1.0
14103	NC_044855	262897.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GIV strain Hu/US/2016/GIV.NA1[PNA1]/WI7002, complete genome	7419	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GIV	ssRNA(+)	0.0	0.0	7419.0	1.0
14104	NC_044856	122928.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Caliciviridae; Norovirus; Norwalk virus	Norovirus GI strain Hu/BD/2011/GI.7[PNA2]/Dhaka1882, complete genome	7734	Riboviria	undefined	Caliciviridae	Norovirus	0.0	ssRNA	Norwalk virus	Norovirus GI	ssRNA(+)	0.0	0.0	7734.0	1.0
2036	NC_017937	590647.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Narmovirus; Nariva narmovirus	Nariva virus, complete genome	15276	Riboviria	Mononegavirales	Paramyxoviridae	Narmovirus	0.0	ssRNA	Nariva narmovirus	Nariva virus	ssRNA(-)	0.0	0.0	15276.0	1.0
2221	NC_030231	1401445.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Avulavirinae; Orthoavulavirus; Avian orthoavulavirus 13	Avian paramyxovirus goose/Shimane/67/2000 viral cRNA, complete genome	16146	Riboviria	Mononegavirales	Paramyxoviridae	Avulavirus	0.0	ssRNA	Avian orthoavulavirus 13	Avian paramyxovirus goose/Shimane/67/2000	ssRNA(-)	0.0	0.0	16146.0	1.0
2626	NC_028249	11240.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Morbillivirus	Phocine distemper virus strain PDV/Wadden_Sea.NLD/1988, complete genome	15696	Riboviria	Mononegavirales	Paramyxoviridae	Morbillivirus	0.0	ssRNA	Phocine morbillivirus	Phocine morbillivirus	ssRNA(-)	0.0	0.0	15696.0	1.0
2650	NC_028362	1529392.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Respirovirus; Bovine respirovirus 3	Caprine parainfluenza virus 3 strain JS2013, complete genome	15618	Riboviria	Mononegavirales	Paramyxoviridae	Respirovirus	0.0	ssRNA	Bovine respirovirus 3	Caprine parainfluenza virus 3	ssRNA(-)	0.0	0.0	15618.0	1.0
5097	NC_034968	1983777.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Avulavirinae; Metaavulavirus; Avian metaavulavirus 15	Avian paramyxovirus 15 isolate APMV-15/calidris_fuscicollis/Brazil/RS-1177/2012, partial genome	14964	Riboviria	Mononegavirales	Paramyxoviridae	Avulavirus	0.0	ssRNA	Avian metaavulavirus 15	Avian paramyxovirus 15	ssRNA(-)	0.0	0.0	14964.0	1.0
5568	NC_019531	28274.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Avulavirinae; Paraavulavirus; Avian paraavulavirus 4	Avian paramyxovirus 4 strain APMV-4/duck/Delaware/549227/2010, complete genome	15048	Riboviria	Mononegavirales	Paramyxoviridae	Paraavulavirus	0.0	ssRNA	Avian paraavulavirus 4	Avian paramyxovirus 4	ssRNA(-)	0.0	0.0	15048.0	1.0
6158	NC_025355	1117633.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Jeilongvirus; Tailam jeilongvirus	Tailam virus strain TL8K, complete genome	19152	Riboviria	Mononegavirales	Paramyxoviridae	Jeilongvirus	0.0	ssRNA	Tailam jeilongvirus	Tailam virus	ssRNA(-)	0.0	0.0	19152.0	0.0
6163	NC_025350	798074.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Pararubulavirus; Tuhoko pararubulavirus 3	Tuhoko virus 3, complete genome	15234	Riboviria	Mononegavirales	Paramyxoviridae	Pararubulavirus	0.0	ssRNA	Tuhoko pararubulavirus 3	Tuhoko virus 3	ssRNA(-)	0.0	0.0	15234.0	1.0
6164	NC_025348	798073.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Pararubulavirus; Tuhoko pararubulavirus 2	Tuhoko virus 2, complete genome	15432	Riboviria	Mononegavirales	Paramyxoviridae	Pararubulavirus	0.0	ssRNA	Tuhoko pararubulavirus 2	Tuhoko virus 2	ssRNA(-)	0.0	0.0	15432.0	1.0
6166	NC_025361	2560315.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Avulavirinae; Metaavulavirus	Avian paramyxovirus 5 strain budgerigar/Kunitachi/74, complete genome	17262	Riboviria	Mononegavirales	Paramyxoviridae	Avulavirus	0.0	ssRNA	Avian metaavulavirus 5	Avian metaavulavirus 5	ssRNA(-)	0.0	0.0	17262.0	1.0
6167	NC_025347	2560317.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Avulavirinae; Metaavulavirus	Avian paramyxovirus 7 strain APMV-7/dove/Tennessee/4/75, complete genome	15480	Riboviria	Mononegavirales	Paramyxoviridae	Avulavirus	0.0	ssRNA	Avian metaavulavirus 7	Avian metaavulavirus 7	ssRNA(-)	0.0	0.0	15480.0	1.0
